timestamp,distance_m,los,note,channel,rate_kbps,pa,mode,n,tx_sent,rx_unique,rx_dup,rx_ooo,tx_acked,tx_failed,retries_total,retries_max,rpd_hits,rpd_samples,duration_ms,per_pct,status
2026-09-06T20:22:04,70.0,1,,5,1000,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,343,2501,2007,100.00,OK
2026-09-06T20:22:10,70.0,1,,5,1000,MAX,ACK,1000,100,0,0,0,0,100,1500,15,3993,5001,3164,100.00,TX_ABORTED
2026-09-06T20:22:12,70.0,1,,5,2000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:22:49,70.0,1,,5,2000,MAX,ACK,1000,0,246,0,0,0,0,0,0,26403,30631,0,75.40,REPORT_TIMEOUT
2026-09-06T20:24:02,90.0,1,,5,250,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,2,2501,2007,100.00,OK
2026-09-06T20:24:04,90.0,1,,5,250,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:24:06,90.0,1,,5,1000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:24:15,90.0,1,,5,1000,MAX,ACK,1000,100,0,0,0,0,100,1500,15,22,5001,3164,100.00,TX_ABORTED
2026-09-06T20:24:17,90.0,1,,5,2000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:24:53,90.0,1,,5,2000,MAX,ACK,1000,0,328,0,0,0,0,0,0,18553,29301,0,67.20,REPORT_TIMEOUT
2026-09-06T20:26:05,110.0,1,,5,250,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,897,2501,2007,100.00,OK
2026-09-06T20:26:15,110.0,1,,5,250,MAX,ACK,1000,100,0,0,0,0,100,1500,15,4271,5001,4758,100.00,TX_ABORTED
2026-09-06T20:26:17,110.0,1,,5,1000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:26:19,110.0,1,,5,1000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:26:24,110.0,1,,5,2000,MAX,NOACK,1000,1000,4,0,0,0,0,0,0,2896,3001,2007,99.60,OK
2026-09-06T20:26:26,110.0,1,,5,2000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:28:25,130.0,1,,5,250,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:28:34,130.0,1,,5,250,MAX,ACK,1000,100,0,0,0,0,100,1500,15,0,5001,4758,100.00,TX_ABORTED
2026-09-06T20:28:36,130.0,1,,5,1000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:28:38,130.0,1,,5,1000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:28:41,130.0,1,,5,2000,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,0,2501,2007,100.00,OK
2026-09-06T20:28:43,130.0,1,,5,2000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:31:53,150.0,1,,5,250,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,2,2501,2007,100.00,OK
2026-09-06T20:31:58,150.0,1,,5,250,MAX,ACK,1000,100,0,0,0,0,100,1500,15,0,5001,4758,100.00,TX_ABORTED
2026-09-06T20:32:01,150.0,1,,5,1000,MAX,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:32:03,150.0,1,,5,1000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T20:32:08,150.0,1,,5,2000,MAX,NOACK,1000,1000,0,0,0,0,0,0,0,0,2501,2007,100.00,OK
2026-09-06T20:32:10,150.0,1,,5,2000,MAX,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:52:40,1.0,1,,5,250,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:52:42,1.0,1,,5,250,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:52:44,1.0,1,,5,1000,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:52:46,1.0,1,,5,1000,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:52:48,1.0,1,,5,2000,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:52:50,1.0,1,,5,2000,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:53:12,1.0,1,,4,250,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:53:14,1.0,1,,4,250,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:53:16,1.0,1,,4,1000,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:53:18,1.0,1,,4,1000,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:53:20,1.0,1,,4,2000,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:53:22,1.0,1,,4,2000,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:57:44,1.0,1,,80,250,LOW,NOACK,200,200,197,0,0,0,0,0,0,602,652,401,1.50,OK
2026-09-06T21:57:46,1.0,1,,80,250,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:57:48,1.0,1,,80,1000,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:57:50,1.0,1,,80,1000,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:57:52,1.0,1,,80,2000,LOW,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:57:54,1.0,1,,80,2000,LOW,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:58:21,1.0,1,,80,250,HIGH,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:58:23,1.0,1,,80,250,HIGH,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:58:26,1.0,1,,80,1000,HIGH,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:58:28,1.0,1,,80,1000,HIGH,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:58:29,1.0,1,,80,2000,HIGH,NOACK,200,200,200,0,0,0,0,0,0,601,660,401,0.00,OK
2026-09-06T21:58:31,1.0,1,,80,2000,HIGH,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:04,1.0,1,,80,250,HIGH,NOACK,200,200,180,0,0,0,0,0,0,602,661,401,10.00,OK
2026-09-06T21:59:06,1.0,1,,80,250,HIGH,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:09,1.0,1,,80,1000,HIGH,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:11,1.0,1,,80,1000,HIGH,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:13,1.0,1,,80,2000,HIGH,NOACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:15,1.0,1,,80,2000,HIGH,ACK,200,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:26,1.0,1,,80,250,HIGH,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:28,1.0,1,,80,250,HIGH,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:30,1.0,1,,80,1000,HIGH,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:32,1.0,1,,80,1000,HIGH,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:34,1.0,1,,80,2000,HIGH,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T21:59:36,1.0,1,,80,2000,HIGH,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T22:00:04,1.0,1,,80,250,HIGH,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T22:00:06,1.0,1,,80,250,HIGH,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T22:00:09,1.0,1,,80,1000,HIGH,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T22:00:11,1.0,1,,80,1000,HIGH,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T22:00:13,1.0,1,,80,2000,HIGH,NOACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
2026-09-06T22:00:15,1.0,1,,80,2000,HIGH,ACK,1000,0,0,0,0,0,0,0,0,0,0,0,100.00,CTRL_TIMEOUT
